pic1,pic2
apricot,avocado
apricot,binoculars
apricot,cactus
apricot,cherries
apricot,fireextinguisher
apricot,television
artichoke,cactus
artichoke,coconut
artichoke,moviecamera
artichoke,wreath
avocado,corncob
avocado,moviecamera
avocado,sideroadsign
banana,basketball
banana,hockeypuck
banana,sideroadsign
banana,violin
baseballmitt,golfball
baseballmitt,snowflake
bear,crocodile
bear,lemon
binoculars,bison
binoculars,football
binoculars,lime
bison,kiwihalf
bison,piano
blueberries,tank
broccoli,football
bulldozer,camera
bulldozer,polarbear
bulldozer,snowflake
bulldozer,watermelonslice
cactus,camera
cactus,corncob
camera,penguin
cardinal,cucumber
cardinal,driedcorn
cardinal,wreath
carrot,coconut
cauliflower,grapefruithalves
cauliflower,speaker
cauliflower,trumpet
celery,iguana
celery,rubberducky
celery,schoolbus
cherries,peapod
cherries,tiger
cherries,zucchini
chick,piano
chick,potato
chick,tank
chinesefoodcarton,crocodile
chinesefoodcarton,elephant
chinesefoodcarton,lime
clarinet,lion
clarinet,swan
coconut,record
coconut,tiger
crocodile,cucumber
crocodile,pumpkin
crosswalksign,grapefruithalves
crosswalksign,trafficcone
driedcorn,schoolbus
driedcorn,zucchini
egg,sideroadsign
elephant,lion
elephant,lobster
fireextinguisher,football
fireextinguisher,moviecamera
fireextinguisher,trumpet
firetruck,golfball
firetruck,wholewatermelon
firetruck,wreath
football,lion
football,pickle
fox,garlic
frog,hockeypuck
frog,walkietalkie
frog,wholewatermelon
garlic,record
golfball,hotdog
golfball,piano
golfball,stocking
grapefruithalves,kiwihalf
grapefruithalves,lime
grapefruithalves,noentrysign
grapefruithalves,wreath
greekcolumn,pumpkin
greenbeans,noentrysign
handicappedparking,potato
iguana,tomato
ketchup,schoolbus
ketchup,tomato
lemon,trafficcone
lemon,turtle
lime,sideroadsign
lime,tooth
lime,wreath
lion,peapod
lion,rubberducky
lion,swan
mailbox,walkietalkie
mailbox,wholewatermelon
penguin,smokedetector
piano,pinkflamingo
piano,sideroadsign
piano,violin
piano,washingmachine
pinkflamingo,trumpet
polarbear,strawberry
potato,strawberry
potato,tomato
raspberry,rhinoceros
rubberducky,tennisball
sheep,strawberry
speaker,trafficcone
tiger,wreath
tire,tooth
toilet,tooth
tophat,wreath
